trigger_name|t90    |t90_error|t90_start|ra        |dec      |error_radius|lii     |bii     |fluence  |fluence_error|flux_64  |flux_64_error|flux_64_time
bn140404900 | 22.784|    1.864|   -1.024|06 47 14.4|-06 57 00|      2.5900|218.6512| -4.0919|4.5474E-6|    3.8557E-8|   5.4684|       1.1585|       4.160
bn140405033 | 39.936|    3.874|   -0.512|07 56 24.0|-26 53 24|      3.9200|244.0179|  0.9030|2.5992E-6|    3.3001E-8|   3.9627|       1.1788|       7.808
bn140406120 |109.312|    3.415|  -32.000|23 50 12.0| 05 37 48|      2.6000| 96.3439|-54.0501|1.1454E-5|    1.0886E-7|   9.0649|       1.5133|      -0.064
bn140406144 | 37.120|    4.291|   -4.096|04 40 24.0| 13 32 24|      5.8600|184.1975|-21.1888|2.3492E-6|    8.7395E-8|   3.2392|       0.9242|      15.616
bn140408553 |  7.680|    3.367|   -1.024|19 22 51.8|-12 35 37|      0.0010| 25.0861|-12.6003| 6.571E-7|    5.4178E-8|   5.0282|       1.5421|       0.576
bn140414693 | 25.600|    2.202|  -11.776|03 02 43.2| 13 49 12|      2.3000|164.9241|-38.1227|5.9855E-6|    4.4821E-8|   7.1959|       1.1073|       7.104
bn140416060 | 31.744|    1.280|   -2.784|02 21 38.4| 43 54 36|      1.0000|139.6367|-16.0165|8.1404E-5|    3.8702E-7| 107.4000|       5.5647|       7.136
bn140422194 |361.472|    9.882|   -4.352|10 58 09.6|-62 37 12|      6.8500|290.3178| -2.5558|4.7774E-6|    1.0753E-7|   4.6825|       1.3268|       2.560
bn140423356 | 95.233|   11.585|  -66.561|13 09 09.4| 49 50 32|      0.0010|115.5985| 67.0329|1.8062E-5|    1.2224E-7|   4.7928|       0.9440|       5.696
bn140426515 | 37.568|    3.535|   -4.736|11 37 57.6|-13 57 00|     12.5200|277.1978| 45.2187|2.2827E-6|    3.1715E-8|   3.3177|       1.1935|       1.984
bn140427702 | 13.312|    7.131|   -3.840|08 47 38.4| 27 29 24|     23.2600|197.4776| 36.4304|5.3739E-7|    6.4306E-8|   5.8161|       1.8743|       3.648
bn140428906 |  0.320|    0.286|   -0.256|00 08 01.4| 68 10 19|      0.4400|118.8976|  5.6410| 9.187E-7|    2.0065E-8|  17.5643|       1.9887|      -0.064
bn140429975 |  9.216|    1.639|   -5.120|22 34 24.0| 34 51 00|      6.0900| 93.4709|-20.0649|6.1967E-7|     1.987E-8|   3.8162|       1.1686|      -0.896
bn140430716 | 26.368|    5.615|  -12.800|09 45 31.2|-36 52 48|      1.8200|266.4816| 12.5075|9.1782E-6|    1.5499E-7|  19.0336|       2.5060|       2.304
bn140501139 |  0.256|    0.630|   -0.128|11 27 31.2| 24 38 24|     10.7400|215.7359| 70.9846|2.0737E-7|    1.9305E-8|   5.6356|       1.2761|       0.000
bn140501497 | 22.144|    5.186|   -0.128|04 11 07.2| 43 15 00|      2.7300|157.0160| -6.0236|6.9716E-6|    4.3762E-8|  10.8676|       1.7469|       1.536
bn140502354 | 20.096|    0.916|   -1.536|21 16 44.9| 48 58 12|      0.0011| 91.0029| -0.1216|2.1082E-6|    3.5542E-8|   3.3315|       1.0450|      -0.832
bn140506880 | 64.128|    2.005|   -3.968|18 27 06.0|-55 38 07|      0.0013|339.3092|-18.8535|6.5933E-6|    1.1836E-7|  24.8041|       2.9432|       0.704
bn140508128 | 44.288|    0.231|    2.816|17 01 52.1| 46 46 49|      0.0005| 72.6384| 37.7845|6.1432E-5|    1.2084E-7|  88.1482|       4.3204|       5.120
bn140508179 | 19.456|    2.290|   -1.024|23 22 07.2|-63 46 48|      4.9800|318.2686|-50.6054|3.3351E-6|    8.3258E-8|   7.5664|       2.5902|      13.696
bn140508629 | 50.433|    8.464|   -0.256|18 08 24.0| 72 31 48|      3.5600|103.2248| 29.0013|2.6069E-6|    4.5935E-8|   3.1257|       0.8115|       4.800
bn140511095 |  1.408|    0.889|   -0.064|21 59 02.4|-30 03 36|      8.8400| 18.0061|-52.2644|3.7066E-7|    3.2128E-8|   9.4036|       1.0314|       0.000
bn140511995 | 59.136|    1.379|   -1.024|01 45 00.0|-24 54 36|      3.5800|205.4828|-77.7704| 6.746E-6|    4.1536E-8|   5.3768|       1.1942|      25.408
bn140512814 |147.970|    2.360|    2.048|19 17 29.0|-15 06 00|      0.0500| 22.1933|-12.4876|2.9345E-5|    8.1352E-8|  15.2699|       1.2484|     129.410
bn140513724 | 17.152|    2.111|   -0.512|16 33 26.4|-19 30 00|      3.9300|358.1017| 18.8423|4.1056E-6|    6.2325E-8|   7.7007|       1.1719|       4.032
bn140516700 | 38.144|    1.145|  -12.544|07 40 38.4| 04 17 24|      7.7700|214.7129| 12.8959|2.6435E-6|    2.9057E-8|   3.4640|       0.9098|       1.088
bn140516765 | 22.016|    5.425|   -2.304|04 57 07.2| 32 51 00|      3.8100|170.8565| -6.3341|6.6103E-6|    1.1812E-7|   8.8708|       1.3042|       6.144
bn140517813 | 18.941|    1.618|    0.003|08 31 00.0| 13 34 12|      2.1700|211.4858| 28.1067|4.7321E-6|    3.9524E-8|   5.2676|       0.9423|       2.880
bn140518709 |  0.704|    0.466|   -0.640|16 16 09.6|-77 51 36|     13.4300|312.9219|-19.1752|3.8053E-7|    2.6848E-8|   5.3743|       1.1494|      -0.192
bn140519043 | 47.616|    2.721|  -22.272|18 33 52.8| 34 24 36|      5.4300| 62.8914| 18.2931| 3.924E-6|    4.5487E-8|   4.1232|       1.3492|       0.832
bn140521184 | 46.592|    3.328|   -5.120|20 34 55.2| 38 51 36|     10.1000| 78.4458| -0.9338|2.7483E-6|    3.8526E-8|   4.0218|       0.9781|       2.560
bn140521732 | 11.550|    3.595|    0.003|21 20 02.4| 67 36 00|      0.0500|104.8046| 12.5190|2.6816E-6|    4.1858E-8|   6.2571|       1.1243|       0.416
bn140523129 | 19.200|    0.362|    0.576|08 53 12.0| 24 57 00|      0.4000|200.9456| 36.9539|5.1164E-5|    4.4852E-8|  53.5263|       1.9432|       0.704
bn140526449 | 79.104|    1.379|    0.512|08 44 55.2|-04 09 00|      3.7100|230.6577| 22.8792| 6.786E-6|    4.0732E-8|  16.9003|       1.6072|      67.008
bn140526571 |  0.064|    0.834|   -0.064|09 31 57.6|-10 57 00|      6.1800|244.2984| 28.4614|1.5784E-7|    1.2786E-8|   4.0560|       0.8978|      -0.064
bn140528837 | 13.568|    0.572|    1.024|18 42 55.4|-59 04 48|      0.4000|336.5541|-21.9747|2.1546E-5|    4.8175E-8|  20.2016|       1.6450|       8.256
bn140603476 |138.242|   13.469|  -51.201|14 29 48.0| 25 54 36|      2.1300| 35.3701| 67.9979|1.8618E-5|    2.1563E-7|   5.4655|       1.1181|      49.601
bn140605377 |  0.512|    0.320|   -0.384|08 07 09.6|-53 51 36|      6.0800|268.2427|-11.4177| 8.025E-7|    8.5088E-9|  11.2358|       0.8909|       0.000
bn140606133 | 22.784|    2.064|    0.256|21 52 30.0| 32 00 51|      0.0006| 84.2903|-17.1183|7.5928E-6|    4.4719E-8|  16.2605|       1.3502|       0.768
bn140608153 | 71.681|    7.371|   -4.608|10 04 52.8|-50 15 36|      1.2600|277.7200|  4.2775|1.2302E-5|    2.2467E-7|  12.1768|       3.8613|      17.920
bn140608713 |  6.400|    3.874|   -0.256|14 07 50.4| 53 49 12|      2.9100|100.3297| 59.8270|1.9456E-6|    6.0005E-8|   9.9663|       2.0859|       0.512
bn140610487 |  0.960|    0.716|   -0.832|13 16 12.0| 35 54 36|      8.1800| 93.5037| 79.7606| 2.638E-7|    2.7651E-8|   4.7271|       0.9775|      -0.192
bn140610548 | 36.865|    1.143|    0.256|08 06 52.8| 06 19 12|      1.0000|215.8860| 19.6424|1.8429E-5|    5.6185E-8|  12.2687|       1.3366|      21.056
bn140610689 |134.144|    7.455|   -2.048|19 05 02.4| 03 54 25|      0.0500| 37.9601| -1.2376|1.3801E-5|    1.2365E-7|   6.6260|       1.9510|      64.768
bn140612294 | 38.913|    8.483|   -0.256|17 49 31.2|-64 06 36|      4.6900|329.1688|-17.8485|4.1045E-6|    8.9186E-8|   4.7117|       0.8780|       6.336
bn140616165 |  0.512|    0.821|   -0.032|06 59 45.6|-70 30 36|      7.0000|281.3873|-24.7763|2.8079E-7|    3.3486E-8|   9.3523|       1.5401|       0.003
